"accession","title","organism","genus","species","taxon_id","sex","tissue_type","length_aa","has_patent","isoform_info","all_7_TM_helices","TM1","TM2","TM3","TM4","TM5","TM6","TM7","phylo_info_1","phylo_info_2","phylo_info_3","phylo_info_4","phylo_info_5","phylo_info_6","phylo_info_7","phylo_info_8","phylo_info_9","phylo_info_10","phylo_info_11","phylo_info_12","phylo_info_13","phylo_info_14","phylo_lineage","phylo_info_15","phylo_info_16","phylo_info_17","phylo_info_18"
"XP_016329491","alpha-2 adrenergic receptor [Sinocyclocheilus anshuiensis].","Sinocyclocheilus anshuiensis","Sinocyclocheilus","anshuiensis","1608454","female","muscle",405,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Ostariophysi",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi",NA,NA,NA,NA
"XP_010777801","alpha-2 adrenergic receptor [Notothenia coriiceps].","Notothenia coriiceps","Notothenia","coriiceps","8208","male","muscle",432,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Perciformes","Notothenioidei","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Notothenioidei",NA,NA,NA,NA
"XP_014062277","alpha-2 adrenergic receptor [Salmo salar].","Salmo salar","Salmo","salar","8030",NA,NA,430,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Protacanthopterygii",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Protacanthopterygii",NA,NA,NA,NA
"NP_776924","alpha-2A adrenergic receptor [Bos taurus].","Bos taurus","Bos","taurus","9913",NA,NA,453,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Mammalia","Eutheria","Laurasiatheria","Artiodactyla","Ruminantia",NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Ruminantia",NA,NA,NA,NA
"XP_073331488","alpha-2 adrenergic receptor [Pagrus major].","Pagrus major","Pagrus","major","143350",NA,NA,433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei",NA,NA,NA,NA
"NP_999565","alpha-2A adrenergic receptor [Sus scrofa].","Sus scrofa","Sus","scrofa","9823",NA,NA,450,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Mammalia","Eutheria","Laurasiatheria","Artiodactyla","Suina","Suidae",NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Suina; Suidae",NA,NA,NA,NA
"XP_072232481","alpha-2 adrenergic receptor [Leuresthes tenuis].","Leuresthes tenuis","Leuresthes","tenuis","355514",NA,NA,433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Atherinomorphae","Atheriniformes","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Atheriniformes",NA,NA,NA,NA
"XP_071755119","alpha-2 adrenergic receptor [Centroberyx gerrardi].","Centroberyx gerrardi","Centroberyx","gerrardi","166262",NA,"heart",433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Berycimorphaceae","Beryciformes","Berycidae","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Berycimorphaceae; Beryciformes; Berycidae",NA,NA,NA,NA
"XP_071316072","alpha-2 adrenergic receptor [Trachinotus anak].","Trachinotus anak","Trachinotus","anak","443729","female","heart",452,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Carangaria","Carangiformes","Carangidae","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Carangaria; Carangiformes; Carangidae",NA,NA,NA,NA
"XP_033962210","alpha-2 adrenergic receptor [Pseudochaenichthys georgianus].","Pseudochaenichthys georgianus","Pseudochaenichthys","georgianus","52239",NA,NA,432,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Perciformes","Notothenioidei","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Notothenioidei",NA,NA,NA,NA
"XP_070785985","alpha-2 adrenergic receptor [Enoplosus armatus].","Enoplosus armatus","Enoplosus","armatus","215367",NA,"Gills and Liver",433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Centrarchiformes","Centrarchoidei","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Centrarchiformes; Centrarchoidei",NA,NA,NA,NA
"XP_070710983","alpha-2 adrenergic receptor [Pempheris klunzingeri].","Pempheris klunzingeri","Pempheris","klunzingeri","3127111",NA,"Whole fish",433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Acropomatiformes","Pempheridae","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Acropomatiformes; Pempheridae",NA,NA,NA,NA
"XP_015802397","alpha-2 adrenergic receptor [Nothobranchius furzeri].","Nothobranchius furzeri","Nothobranchius","furzeri","105023","male","skeletal muscle",421,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Atherinomorphae","Cyprinodontiformes","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Cyprinodontiformes",NA,NA,NA,NA
